Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-9.54880772585182E-07,0.0464116058279854,0.0121268540557259,0,0,0,0.727501628669828,0.00247370771659153,1.75628213090658E-08,1.38332715720516E-08,0.00245934745224797,-3.59628508890605E-08,0.00248312387112852,0,0,0,0,0,0,package://broken_feet/meshes/body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://broken_feet/meshes/body.STL,,body_subassem-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
00,-0.0440388898017557,-3.63001309726385E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414576E-05,1.36848294672652E-14,-6.41822721014909E-10,7.58096552667324E-05,-6.41822721063825E-10,3.22965690401587E-05,0,0,0,0,0,0,package://broken_feet/meshes/00.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/00.STL,,frame-1,Origin_body_00,Axis_body_00,body_00,continuous,-0.0698576418528583,-0.0961507619254144,-0.0118567866274084,-3.10154214245784,1.38208579601134,0.942477796076948,body,1,0,0,0,0,0,0,,,,,,,,
01,-1.4520052390582E-06,-1.45200523908595E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957246912288E-13,-2.79364977315509E-09,8.52661387999373E-05,-2.79364977318643E-09,3.22965686296139E-05,0,0,0,0,0,0,package://broken_feet/meshes/01.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/01.STL,,frame-2,Origin_00_01,Axis_00_01,00_01,fixed,-0.0440385268004459,0,0.0812000000000013,0,0,1.5707963267949,00,0.785251239783509,-0.110264089708263,-0.609280166211957,0,0,0,0,,,,,,,,
02,2.77555756156289E-17,-0.0157761500765907,0.0474773983105136,0,0,0,0.0831925653721974,6.18699908273782E-05,2.5410988417629E-21,1.01643953670516E-20,4.2825711220069E-05,1.80609050865785E-05,4.61612171497649E-05,0,0,0,0,0,0,package://broken_feet/meshes/02.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/02.STL,,frame-3,Origin_01_02,Axis_01_02,01_02,fixed,0,0,0.0812000000000015,0,0,0,01,0.78525123978351,-0.110264089708262,-0.609280166211956,0,0,0,0,,,,,,,,
10,-0.0267710126538516,-3.63001309733324E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414575E-05,1.36848345494629E-14,-6.41822721017132E-10,7.58096552667324E-05,-6.41822721072295E-10,3.22965690401587E-05,0,0,0,0,0,0,package://broken_feet/meshes/10.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/10.STL,,frame-25,Origin_body_10,Axis_body_10,body_10,continuous,-0.116112807904595,0.0377273413418564,0.00510453297153173,-3.14159265358979,1.38208579601134,-0.314159265358966,body,1,0,0,0,0,0,0,,,,,,,,
11,-1.45200523908595E-06,-1.45200523906514E-06,0.0577259654445788,0,0,0,0.103853927874307,6.6794165932018E-05,2.18957269993935E-13,-2.79364977317373E-09,8.52661387999373E-05,-2.79364977317876E-09,3.2296568629614E-05,0,0,0,0,0,0,package://broken_feet/meshes/11.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/11.STL,,frame-24,Origin_10_11,Axis_10_11,10_11,fixed,-0.0267706496525418,0,0.0812,0,0,1.5707963267949,10,-0.309016994374939,-0.178411044886539,-0.934172358962719,0,0,0,0,,,,,,,,
12,-1.11022302462516E-16,-0.0532160764699449,0.0531179899870652,0,0,0,0.141254271685154,0.000416559633615451,-4.01493616998538E-19,6.7762635780344E-20,5.44190175587165E-05,6.08030153794321E-05,0.000394411456477929,0,0,0,0,0,0,package://broken_feet/meshes/12.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/12.STL,,frame-23,Origin_11_12,Axis_11_12,11_12,fixed,0,0,0.0812,0,0,0,11,-0.309016994374934,-0.17841104488654,-0.934172358962721,0,0,0,0,,,,,,,,
20,-0.0496583686279049,-3.63001309788835E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414576E-05,1.36848277731993E-14,-6.41822721029838E-10,7.58096552667325E-05,-6.41822721044343E-10,3.22965690401588E-05,0,0,0,0,0,0,package://broken_feet/meshes/20.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/20.STL,,frame-28,Origin_body_20,Axis_body_20,body_20,continuous,0.112029450810574,0.0364005781952566,-0.0173765025446221,-3.11057360693529,1.38208579601134,-2.82743338823083,body,1,0,0,0,0,0,0,,,,,,,,
21,-1.45200523912065E-06,-1.45200523907901E-06,0.0577259654445788,0,0,0,0.103853927874307,6.6794165932018E-05,2.18957261735364E-13,-2.79364977315933E-09,8.52661387999373E-05,-2.79364977319967E-09,3.2296568629614E-05,0,0,0,0,0,0,package://broken_feet/meshes/21.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/21.STL,,frame-27,Origin_20_21,Axis_20_21,20_21,fixed,-0.0496580056265952,0,0.0812000000000004,0,0,1.5707963267949,20,-0.27989585178162,0.17841104488654,0.943306848919234,0,0,0,0,,,,,,,,
22,1.38777878078145E-16,-0.0532160764699448,0.0531179899870652,0,0,0,0.141254271685154,0.000416559633615452,2.01593841446523E-19,-2.03287907341032E-20,5.44190175587168E-05,6.08030153794327E-05,0.000394411456477929,0,0,0,0,0,0,package://broken_feet/meshes/22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/22.STL,,frame-26,Origin_21_22,Axis_21_22,21_22,fixed,0,0,0.0812000000000002,0,0,0,21,-0.27989585178162,0.178411044886539,0.943306848919234,0,0,0,0,,,,,,,,
30,-0.0565268730517737,-3.63001309802713E-07,0.0577248764406495,0,0,0,0.103853927874307,7.62606139414577E-05,1.36848260791334E-14,-6.41822721030791E-10,7.58096552667325E-05,-6.41822721038414E-10,3.22965690401588E-05,0,0,0,0,0,0,package://broken_feet/meshes/30.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/30.STL,,frame-31,Origin_body_30,Axis_body_30,body_30,continuous,0.068480665747503,-0.0942555169090825,-0.0241230700411436,-3.09184703655275,1.38208579601134,2.19911485751285,body,1,0,0,0,0,0,0,,,,,,,,
31,-1.45200523912759E-06,-1.45200523904432E-06,0.0577259654445788,0,0,0,0.103853927874307,6.67941659320179E-05,2.18957272746792E-13,-2.79364977314323E-09,8.52661387999372E-05,-2.7936497731966E-09,3.22965686296139E-05,0,0,0,0,0,0,package://broken_feet/meshes/31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/31.STL,,frame-30,Origin_30_31,Axis_30_31,30_31,fixed,-0.0565265100504638,0,0.0812000000000006,0,0,1.5707963267949,30,0.83672499474751,0.110264089708265,0.536407600324219,0,0,0,0,,,,,,,,
32,5.55111512312578E-17,-0.0532160764699448,0.0531179899870653,0,0,0,0.141254271685154,0.000416559633615452,-1.66018457661843E-19,9.48676900924816E-20,5.44190175587167E-05,6.08030153794323E-05,0.000394411456477929,0,0,0,0,0,0,package://broken_feet/meshes/32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://broken_feet/meshes/32.STL,,frame-29,Origin_31_32,Axis_31_32,31_32,fixed,0,0,0.0812,0,0,0,31,0.83672499474751,0.110264089708267,0.536407600324219,0,0,0,0,,,,,,,,
